onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	nback_level	key_press	matched	outcome	istutorial	dropped_samples	marker_stream
0.747990	0.012000	dropped_samples	4284.197587	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
0.774583	0.012000	dropped_samples	4284.224179	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
0.775950	0.012000	dropped_samples	4284.225546	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
0.816009	0.020000	dropped_samples	4284.265605	Dropped 5 samples	n/a	n/a	n/a	n/a	n/a	n/a	5	UoHDataOffsetStream
1.511446	0.012000	dropped_samples	4284.961042	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.171058	0.008000	dropped_samples	4285.620655	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
2.280108	0.012000	dropped_samples	4285.729704	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.334674	0.012000	dropped_samples	4285.784271	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.378453	0.096000	dropped_samples	4285.828049	Dropped 24 samples	n/a	n/a	n/a	n/a	n/a	n/a	24	UoHDataOffsetStream
2.885388	0.012000	dropped_samples	4286.334984	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.944658	0.012000	dropped_samples	4286.394254	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.006721	0.028000	dropped_samples	4286.456317	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
3.052255	0.028000	dropped_samples	4286.501852	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
3.561397	0.012000	dropped_samples	4287.010994	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.658854	0.012000	dropped_samples	4287.108450	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.660271	0.012000	dropped_samples	4287.109868	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.696790	0.028000	dropped_samples	4287.146386	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
4.827243	0.012000	dropped_samples	4288.276839	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
4.916561	0.024000	dropped_samples	4288.366157	Dropped 6 samples	n/a	n/a	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
5.388486	0.108000	dropped_samples	4288.838082	Dropped 27 samples	n/a	n/a	n/a	n/a	n/a	n/a	27	UoHDataOffsetStream
