onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	nback_n	keypress	matched	outcome	istutorial	dropped_samples	marker_stream
0.186705	0.008000	dropped_samples	2375.807447	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
0.928962	0.008000	dropped_samples	2376.549704	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
3.545996	0.004000	dropped_samples	2379.166738	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
4.073467	0.008000	dropped_samples	2379.694208	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
4.410237	0.004000	dropped_samples	2380.030979	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
13.336096	0.004000	dropped_samples	2388.956837	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
13.770649	0.012000	dropped_samples	2389.391391	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
14.371343	0.004000	dropped_samples	2389.992084	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.113428	0.004000	dropped_samples	2390.734170	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.976441	0.000000	started_tutorial_n-back	2391.597183	Started tutorial n-back	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n-backMarkers
16.339088	0.004000	dropped_samples	2391.959830	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
16.578276	0.012000	dropped_samples	2392.199018	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
18.160324	0.004000	dropped_samples	2393.781065	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
18.619318	0.012000	dropped_samples	2394.240060	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
21.353699	0.004000	dropped_samples	2396.974441	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
22.720866	0.012000	dropped_samples	2398.341607	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
24.932861	0.004000	dropped_samples	2400.553603	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
26.251181	0.004000	dropped_samples	2401.871923	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.360565	0.004000	dropped_samples	2403.981307	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.056860	0.004000	dropped_samples	2407.677601	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.459322	0.004000	dropped_samples	2410.080064	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
35.396696	0.004000	dropped_samples	2411.017438	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
36.837209	0.004000	dropped_samples	2412.457951	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.699582	0.004000	dropped_samples	2416.320324	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
41.612582	0.004000	dropped_samples	2417.233323	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
42.403647	0.004000	dropped_samples	2418.024388	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
42.857807	0.024000	dropped_samples	2418.478548	Dropped 6 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
43.409555	0.004000	dropped_samples	2419.030297	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
45.401669	0.004000	dropped_samples	2421.022411	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
47.418244	0.004000	dropped_samples	2423.038985	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
47.681911	0.004000	dropped_samples	2423.302653	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
47.828410	0.004000	dropped_samples	2423.449152	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
