name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Pz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Fz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Cz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T6	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T5	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
O2	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
O1	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
FP2	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
FP1	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
D1	MISC	V	0.0	125.0	Auxiliary channel (non-ECG).	250.0	good	n/a
D2	MISC	V	0.0	125.0	Auxiliary channel (non-ECG).	250.0	good	n/a
D3	ECG	V	0.0	125.0	ElectroCardioGram	250.0	good	n/a
D4	MISC	V	0.0	125.0	Auxiliary channel (non-ECG).	250.0	good	n/a
D5	MISC	V	0.0	125.0	Auxiliary channel (non-ECG).	250.0	good	n/a
