onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	nback_level	key_press	matched	outcome	istutorial	dropped_samples	marker_stream
0.170821	0.004000	dropped_samples	3956.615382	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
2.695232	0.012000	dropped_samples	3959.139793	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
4.038030	0.004000	dropped_samples	3960.482591	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
6.894481	0.012000	dropped_samples	3963.339042	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.851519	0.012000	dropped_samples	3964.296080	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
10.473051	0.000000	started_tutorial_n_back	3966.917612	Started tutorial n-back	n/a	n/a	n/a	n/a	n/a	true	n/a	n-backMarkers
10.517525	0.008000	dropped_samples	3966.962086	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
10.707998	0.004000	dropped_samples	3967.152559	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
12.460964	0.004000	dropped_samples	3968.905525	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
21.723646	0.004000	dropped_samples	3978.168207	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
25.327141	0.004000	dropped_samples	3981.771701	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
25.971681	0.004000	dropped_samples	3982.416242	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.029317	0.004000	dropped_samples	3986.473878	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
35.791018	0.008000	dropped_samples	3992.235578	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
42.988259	0.012000	dropped_samples	3999.432820	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
46.040115	0.004000	dropped_samples	4002.484676	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
51.460142	0.004000	dropped_samples	4007.904702	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
53.164126	0.004000	dropped_samples	4009.608687	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
54.316502	0.004000	dropped_samples	4010.761062	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
56.167766	0.004000	dropped_samples	4012.612327	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
56.718788	0.004000	dropped_samples	4013.163349	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
59.838935	0.004000	dropped_samples	4016.283496	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
67.231557	0.004000	dropped_samples	4023.676118	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
72.675878	0.004000	dropped_samples	4029.120439	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
73.515716	0.012000	dropped_samples	4029.960276	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
77.480447	0.000000	1-back	4033.925008	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
79.181030	0.000000	1-back	4035.625591	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
80.882684	0.000000	1-back	4037.327245	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
80.932769	0.004000	dropped_samples	4037.377330	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
81.079409	0.004000	dropped_samples	4037.523970	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
82.582971	0.000000	1-back	4039.027532	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
84.283801	0.000000	1-back	4040.728362	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
85.131952	0.068000	dropped_samples	4041.576513	Dropped 17 samples	n/a	n/a	n/a	n/a	n/a	n/a	17	UoHDataOffsetStream
85.278541	0.004000	dropped_samples	4041.723102	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
85.639807	0.004000	dropped_samples	4042.084368	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
85.985229	0.000000	1-back	4042.429790	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
86.718921	0.004000	dropped_samples	4043.163482	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
87.687788	0.000000	1-back	4044.132349	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
89.391004	0.000000	1-back	4045.835565	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
91.092898	0.000000	1-back	4047.537459	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
92.795116	0.000000	1-back	4049.239676	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
93.388835	0.004000	dropped_samples	4049.833396	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
94.498826	0.000000	1-back	4050.943387	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
95.117597	0.008000	dropped_samples	4051.562158	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
96.199455	0.000000	1-back	4052.644015	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
97.758948	0.008000	dropped_samples	4054.203509	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
97.900937	0.000000	1-back	4054.345498	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
99.601737	0.000000	1-back	4056.046298	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
100.732569	0.004000	dropped_samples	4057.177130	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
101.191574	0.004000	dropped_samples	4057.636134	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
101.303695	0.000000	1-back	4057.748256	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
103.005469	0.000000	1-back	4059.450030	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
104.708765	0.000000	1-back	4061.153326	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
106.409700	0.000000	1-back	4062.854261	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
106.445544	0.004000	dropped_samples	4062.890105	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
107.236477	0.004000	dropped_samples	4063.681038	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
108.110773	0.000000	1-back	4064.555333	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
108.413276	0.012000	dropped_samples	4064.857837	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
109.810999	0.000000	1-back	4066.255560	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
111.512870	0.000000	1-back	4067.957431	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
114.941655	0.004000	dropped_samples	4071.386216	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
120.219667	0.000000	2-back	4076.664227	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
121.921505	0.000000	2-back	4078.366066	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
123.623270	0.000000	2-back	4080.067831	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
125.324937	0.000000	2-back	4081.769498	Steps:2 KeyPress:True Matched:True	1	2	true	true	Correct	true	n/a	n-backMarkers
127.027770	0.000000	2-back	4083.472331	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
128.729597	0.000000	2-back	4085.174158	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
130.432950	0.000000	2-back	4086.877511	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
130.952364	0.012000	dropped_samples	4087.396925	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
