onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	nback_level	key_press	matched	outcome	istutorial	dropped_samples	marker_stream
6.002947	0.004000	dropped_samples	1693.336596	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
6.476886	0.012000	dropped_samples	1693.810535	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
6.610233	0.012000	dropped_samples	1693.943882	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
6.611553	0.008000	dropped_samples	1693.945202	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
6.652110	0.016000	dropped_samples	1693.985759	Dropped 4 samples	n/a	n/a	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
7.155180	0.012000	dropped_samples	1694.488830	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.252836	0.004000	dropped_samples	1694.586485	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
7.714277	0.012000	dropped_samples	1695.047926	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.738639	0.012000	dropped_samples	1695.072288	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.739996	0.012000	dropped_samples	1695.073645	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.780133	0.016000	dropped_samples	1695.113782	Dropped 4 samples	n/a	n/a	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
9.005675	0.012000	dropped_samples	1696.339324	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
9.747808	0.004000	dropped_samples	1697.081457	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
10.133589	0.012000	dropped_samples	1697.467238	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.740038	0.012000	dropped_samples	1699.073687	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
12.291973	0.012000	dropped_samples	1699.625622	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
13.204895	0.004000	dropped_samples	1700.538544	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
13.829829	0.004000	dropped_samples	1701.163478	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
22.009943	0.012000	dropped_samples	1709.343592	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.075106	0.012000	dropped_samples	1709.408755	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.076306	0.012000	dropped_samples	1709.409955	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.106304	0.028000	dropped_samples	1709.439953	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
23.859252	0.008000	dropped_samples	1711.192901	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
26.305503	0.012000	dropped_samples	1713.639152	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
26.837767	0.008000	dropped_samples	1714.171416	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
27.340672	0.012000	dropped_samples	1714.674321	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
28.941133	0.012000	dropped_samples	1716.274782	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
28.989974	0.012000	dropped_samples	1716.323623	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
28.996207	0.016000	dropped_samples	1716.329856	Dropped 4 samples	n/a	n/a	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
29.051756	0.024000	dropped_samples	1716.385406	Dropped 6 samples	n/a	n/a	n/a	n/a	n/a	n/a	6	UoHDataOffsetStream
29.137748	0.004000	dropped_samples	1716.471397	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.001829	0.012000	dropped_samples	1717.335478	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
30.509617	0.012000	dropped_samples	1717.843266	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
30.822143	0.004000	dropped_samples	1718.155793	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.257656	0.004000	dropped_samples	1719.591305	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
32.477389	0.004000	dropped_samples	1719.811038	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.698110	0.004000	dropped_samples	1721.031759	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
