onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	nback_level	key_press	matched	outcome	istutorial	dropped_samples	marker_stream
15.034238	0.004000	dropped_samples	4127.974289	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
15.537169	0.004000	dropped_samples	4128.477220	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
16.567446	0.012000	dropped_samples	4129.507498	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
21.606476	0.012000	dropped_samples	4134.546528	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
23.336442	0.004000	dropped_samples	4136.276493	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
23.696324	0.004000	dropped_samples	4136.636376	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
26.093835	0.004000	dropped_samples	4139.033886	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.281468	0.004000	dropped_samples	4141.221520	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.710971	0.004000	dropped_samples	4141.651023	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
29.770556	0.004000	dropped_samples	4142.710608	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
30.322334	0.004000	dropped_samples	4143.262385	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
31.040102	0.004000	dropped_samples	4143.980153	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.945423	0.004000	dropped_samples	4146.885475	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.926064	0.000000	started_tutorial_n_back	4153.866115	Started tutorial n-back	n/a	n/a	n/a	n/a	n/a	true	n/a	n-backMarkers
50.791083	0.004000	dropped_samples	4163.731135	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
64.135862	0.008000	dropped_samples	4177.075913	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
69.248165	0.012000	dropped_samples	4182.188217	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
70.376108	0.012000	dropped_samples	4183.316159	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
71.479655	0.008000	dropped_samples	4184.419707	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
72.802849	0.004000	dropped_samples	4185.742901	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
73.004677	0.004000	dropped_samples	4185.944728	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
73.042155	0.012000	dropped_samples	4185.982206	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
73.447383	0.012000	dropped_samples	4186.387435	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
76.211065	0.008000	dropped_samples	4189.151116	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
76.401535	0.004000	dropped_samples	4189.341586	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
78.032346	0.004000	dropped_samples	4190.972398	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
78.081165	0.004000	dropped_samples	4191.021217	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
79.760996	0.004000	dropped_samples	4192.701047	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
81.103661	0.008000	dropped_samples	4194.043712	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
84.726681	0.004000	dropped_samples	4197.666732	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
88.808735	0.004000	dropped_samples	4201.748787	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
89.746261	0.008000	dropped_samples	4202.686312	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
94.350722	0.012000	dropped_samples	4207.290774	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
94.570451	0.008000	dropped_samples	4207.510502	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
98.278164	0.004000	dropped_samples	4211.218216	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
104.384918	0.004000	dropped_samples	4217.324969	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
106.787301	0.004000	dropped_samples	4219.727352	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
107.924879	0.000000	1-back	4220.864930	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
109.625705	0.000000	1-back	4222.565756	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
111.326757	0.000000	1-back	4224.266809	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
113.027133	0.000000	1-back	4225.967184	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
114.728706	0.000000	1-back	4227.668758	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
116.428809	0.000000	1-back	4229.368860	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
118.129604	0.000000	1-back	4231.069655	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
119.829993	0.000000	1-back	4232.770044	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
121.531678	0.000000	1-back	4234.471729	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
122.290215	0.004000	dropped_samples	4235.230267	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
122.695531	0.004000	dropped_samples	4235.635583	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
123.231775	0.000000	1-back	4236.171826	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
123.755072	0.004000	dropped_samples	4236.695124	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
124.932940	0.000000	1-back	4237.872992	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
126.634627	0.000000	1-back	4239.574679	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
127.402711	0.012000	dropped_samples	4240.342762	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
128.336020	0.000000	1-back	4241.276072	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
130.035999	0.000000	1-back	4242.976051	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
131.439978	0.012000	dropped_samples	4244.380030	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
131.479706	0.008000	dropped_samples	4244.419758	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
131.736566	0.000000	1-back	4244.676617	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
132.394068	0.008000	dropped_samples	4245.334120	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
133.436709	0.000000	1-back	4246.376760	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
135.139354	0.000000	1-back	4248.079405	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
136.839745	0.000000	1-back	4249.779797	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
138.541589	0.000000	1-back	4251.481641	Steps:1 KeyPress:True Matched:False	0	1	true	false	Wrong	true	n/a	n-backMarkers
140.242593	0.000000	1-back	4253.182644	Steps:1 KeyPress:False Matched:True	0	1	false	true	Wrong	true	n/a	n-backMarkers
141.943655	0.000000	1-back	4254.883706	Steps:1 KeyPress:False Matched:False	1	1	false	false	Correct	true	n/a	n-backMarkers
143.720932	0.016000	dropped_samples	4256.660984	Dropped 4 samples	n/a	n/a	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
144.677812	0.008000	dropped_samples	4257.617864	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
144.731666	0.036000	dropped_samples	4257.671717	Dropped 9 samples	n/a	n/a	n/a	n/a	n/a	n/a	9	UoHDataOffsetStream
150.635613	0.000000	2-back	4263.575664	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
150.839177	0.008000	dropped_samples	4263.779229	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
150.874306	0.008000	dropped_samples	4263.814358	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
152.336146	0.000000	2-back	4265.276197	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
152.890894	0.004000	dropped_samples	4265.830946	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
154.037575	0.000000	2-back	4266.977626	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
155.737732	0.000000	2-back	4268.677783	Steps:2 KeyPress:False Matched:False	1	2	false	false	Correct	true	n/a	n-backMarkers
