onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	nback_level	key_press	matched	outcome	istutorial	dropped_samples	marker_stream
0.164579	0.012000	dropped_samples	4082.114509	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
0.202303	0.012000	dropped_samples	4082.152233	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
0.778484	0.012000	dropped_samples	4082.728414	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
1.926219	0.012000	dropped_samples	4083.876149	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.313466	0.012000	dropped_samples	4084.263396	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
2.502177	0.012000	dropped_samples	4084.452107	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
3.849792	0.012000	dropped_samples	4085.799721	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
4.230625	0.008000	dropped_samples	4086.180555	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
4.377151	0.004000	dropped_samples	4086.327081	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
5.094858	0.016000	dropped_samples	4087.044788	Dropped 4 samples	n/a	n/a	n/a	n/a	n/a	n/a	4	UoHDataOffsetStream
5.768755	0.012000	dropped_samples	4087.718684	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
6.198619	0.008000	dropped_samples	4088.148549	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
6.988870	0.012000	dropped_samples	4088.938799	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.043602	0.012000	dropped_samples	4088.993532	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
7.048813	0.052000	dropped_samples	4088.998743	Dropped 13 samples	n/a	n/a	n/a	n/a	n/a	n/a	13	UoHDataOffsetStream
7.221203	0.008000	dropped_samples	4089.171132	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
7.258088	0.012000	dropped_samples	4089.208018	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
8.427842	0.004000	dropped_samples	4090.377772	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
8.603719	0.012000	dropped_samples	4090.553648	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
8.604382	0.012000	dropped_samples	4090.554312	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
8.649613	0.068000	dropped_samples	4090.599542	Dropped 17 samples	n/a	n/a	n/a	n/a	n/a	n/a	17	UoHDataOffsetStream
9.372271	0.012000	dropped_samples	4091.322200	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
9.382140	0.012000	dropped_samples	4091.332069	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
9.465024	0.064000	dropped_samples	4091.414954	Dropped 16 samples	n/a	n/a	n/a	n/a	n/a	n/a	16	UoHDataOffsetStream
9.655479	0.008000	dropped_samples	4091.605409	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
9.992386	0.012000	dropped_samples	4091.942316	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
11.262393	0.028000	dropped_samples	4093.212323	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
11.286189	0.148000	dropped_samples	4093.236119	Dropped 37 samples	n/a	n/a	n/a	n/a	n/a	n/a	37	UoHDataOffsetStream
11.530466	0.012000	dropped_samples	4093.480396	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
12.634178	0.012000	dropped_samples	4094.584108	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
13.449391	0.012000	dropped_samples	4095.399321	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
14.982618	0.012000	dropped_samples	4096.932548	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
17.040678	0.012000	dropped_samples	4098.990607	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
17.161577	0.028000	dropped_samples	4099.111506	Dropped 7 samples	n/a	n/a	n/a	n/a	n/a	n/a	7	UoHDataOffsetStream
17.162989	0.148000	dropped_samples	4099.112919	Dropped 37 samples	n/a	n/a	n/a	n/a	n/a	n/a	37	UoHDataOffsetStream
17.303672	0.056000	dropped_samples	4099.253601	Dropped 14 samples	n/a	n/a	n/a	n/a	n/a	n/a	14	UoHDataOffsetStream
17.336104	0.012000	dropped_samples	4099.286034	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
17.673070	0.012000	dropped_samples	4099.623000	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
18.966961	0.004000	dropped_samples	4100.916890	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
19.206269	0.012000	dropped_samples	4101.156199	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
20.407516	0.012000	dropped_samples	4102.357445	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
21.130106	0.012000	dropped_samples	4103.080036	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
22.282441	0.012000	dropped_samples	4104.232371	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
23.711565	0.012000	dropped_samples	4105.661495	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
23.766812	0.052000	dropped_samples	4105.716742	Dropped 13 samples	n/a	n/a	n/a	n/a	n/a	n/a	13	UoHDataOffsetStream
23.962166	0.004000	dropped_samples	4105.912096	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
24.631077	0.012000	dropped_samples	4106.581006	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
25.642593	0.012000	dropped_samples	4107.592523	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
27.216192	0.012000	dropped_samples	4109.166122	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
