onset	duration	trial_type	timestamp_lsl	marker	response_accuracy	difficulty_range	nback_n	keypress	matched	outcome	istutorial	dropped_samples	marker_stream
0.000690	0.000000	dropped_samples	7247.890936	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
0.141240	0.000000	dropped_samples	7248.031486	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
11.903918	0.000000	dropped_samples	7259.794164	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
15.024134	0.000000	dropped_samples	7262.914380	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
28.393189	0.000000	dropped_samples	7276.283435	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
29.877670	0.000000	dropped_samples	7277.767916	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
33.407867	0.000000	dropped_samples	7281.298113	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
34.688628	0.000000	started_tutorial_n-back	7282.578874	Started tutorial n-back	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n-backMarkers
39.408928	0.000000	dropped_samples	7287.299174	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
39.789854	0.000000	dropped_samples	7287.680100	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
40.151160	0.000000	dropped_samples	7288.041406	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
45.121787	0.000000	dropped_samples	7293.012033	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
47.494867	0.000000	dropped_samples	7295.385113	Dropped 2 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	UoHDataOffsetStream
47.997852	0.000000	dropped_samples	7295.888098	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
52.153083	0.000000	dropped_samples	7300.043329	Dropped 3 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	UoHDataOffsetStream
56.064220	0.000000	dropped_samples	7303.954466	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
57.143284	0.000000	dropped_samples	7305.033530	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
61.010632	0.000000	dropped_samples	7308.900878	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
71.640436	0.000000	dropped_samples	7319.530682	Dropped 1 samples	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	UoHDataOffsetStream
