participant_id	analysis_included	data_quality_overall
sub-001	true	pass
sub-002	true	pass
sub-003	true	pass
sub-004	true	pass
sub-005	true	pass
sub-006	true	pass
sub-007	true	pass
sub-008	true	pass
sub-009	true	pass
sub-010	true	pass
sub-011	true	pass
sub-012	true	pass
sub-013	true	pass
sub-014	true	pass
sub-015	true	pass
sub-016	true	pass
sub-017	true	pass
sub-018	true	pass
